,description
32825,"The perfect location for this major event! Just steps away from Columbus Circle, Times Square, and three stops from Penn Station via the A,C, & 1 subways make this an extremely convenient stay in NYC. Great restaurants and bars in the 'hood as well. Enjoy NY's FIRST EVER Super Bowl! Cozy, comfortable, and inviting, our apartment is big enough to unwind in and small enough to feel at home in. Washer/dryer, bars/restaurants, transit, points of interest. Tourist destinations with friendly neighborhood nightlife spots. YES! Trains go directly to Penn Station with connection to NJ Transit (the ONLY train to take to the Super Bowl)."
32847,"Luxury, super modern three bedroom, 2 bath apartment on 63rd and Madison on the upper east side in Manhattan. Loft-like apartment on the Upper East side! 1 blocks from Central Park! Wood floors throughout. Great for kids. Perfect for a family. Luxury, loft style, modern apartment with wood floors throughout. This is very unique for the Upper East Side. Doorman apartment. 3 Beds, perfect for a whole family. The entire apartment I will not be available but a maid will come each weekday to clean Upper East Side. 1 block from Central Park. 3 blocks from Bloomingdales. Great restaurants such all around. Subway stop for virtually all Subway Lones are within 3 blocks"
32899,"My 2 bedrooms / 2,5 bathrooms Townhouse is a luxurious and immensely cosy place while visiting the city. It is located 4 blocks from Central Park, near from Metropolitan Museum, Museum of Modern Art, Bloomingdale's and many shops from Madison and Lexington Avenues. Friends or family fit comfortabily together under one roof. Our 2 bedrooms /2.5 Bathrooms , is a luxurious and immensely cozy place to call home while visiting the City.Friends or/and families fit comfortably together under one roof. This spacious, 2BR townhouse, The entry level has a stair and easy access to all other floors via the stairs (no elevator). The first floor has, a living room with 3 windows facing the street, a dining room with a window and door which opens on a terrace and on a large kitchen with one window. There is a casual dining table with seating for 6 in the dining room. The second floor has the master bedroom and its private bathroom and another large bedroom with its private bathroom too."
32932,"West Village apartment (1 bedroom, 1 bath) with sweeping views of the Hudson River available for Super Bowl weekend. Located right in the most desirable part of the W Village (a couple blocks from Meatpacking), all top restaurants are walking distance. It is also only minutes from the Lincoln Tunnel. This space is in the heart of the one of the most desirable neighborhoods in Manhattan, the West Village. Only blocks from the Meatpacking, this apartment also offers full, sweeping views of the Hudson and New Jersey across the river. Every amenity imaginable is offered. Guests have access to everything with the exception of one closet where I'll store most of my belongings. Amenities include heat/cool/wi-fi/TV/dishwasher/full bath/1 BR/doorman, etc. Not much interaction with guests (but am happy to engage with as much as they desire :-)"
32989,
33062,"ONEFINESTAY is proud to present this 3 bedroom apartment in New-York. Our team is available 24/7 to answer any question you have. Included amenities: Wifi, iPhone, Welcome Pack, Toiletries, Area Tips, Cleaning, Fridge Fill Service, Cafetiere, 24/7 Support. Icebreaker: Open the windows of this delightful townhouse and you might just be able to smell the sea breeze from the nearby waterfront. Situated in the same discreet byways of the West Village that were once home to the longshoremen who plied their trade on the Hudson, here you might stowaway amidst the burnished wood floors and exposed beams. Lounge on the soft grey sofa, your coffee cup resting beside you on the elegant mid-century side table. Port authority Your hosts work in the entertainment industry and are West Village aficionados, both passionate advocates of the neighbourhood's rich past and stylish present. Admiral's pride: In the airy living room original features like a marble fireplace and beamed floors are the st"
33127,"My one bedroom apartment is clean, modern and extremely comfortable. The neighborhood is Cobble Hill. You will be steps away from the famed Smith Street, filled with fine dining and plenty of shops. You will also be roughly a 15 minute walk from the Barclays Arena."
33312,"Come experience my beautiful 4-bedroom, 4-bathroom, newly-renovated loft. All bedrooms have queen size beds and all bathrooms are on suite. Central Midtown location. Conveniently located near Time Square, Grand Central Train Station, and the Empire State Building. My loft very big for Manhattan. It is approximately 2500 sq ft and is perfect for large groups of people who want to lodge together, but also value their privacy and space. Please message me for more details. We recently added smart TV's to each bedroom giving everyone the ability to just hang in their own room and watch a movie."
33344,"Beautifully renovated quiet 2200 sq ft loft in prime SoHo. Private elevator opens into your original cast iron loft, with impressive 14 ft ceilings and original artist windows, on a quiet landmarked cobblestoned block. Luxurious SoHo living at its best. *Just renovated in May 2018. Repainted, improved AC, new bathroom/kitchen fixtures, and more. Beautiful and quiet full floor 2200 square foot loft in a historic cast iron building, on a landmarked block, adjacent to the Mercer Hotel. Enter through your own secured private keyed elevator from the ground level (this is not a walk-up with stairs, like most lofts on airbnb). The loft is pin drop quiet and in the heart of Soho on a beautiful cobblestone street. The loft is the entire floor with huge windows on both ends and was recently renovated. There are huge 14 foot ceilings and top end furnishings, appliances, linens, and electronics. It is furnished with a modern minimal style. Loft receives great light and, as you will see from review"
33477,"Room on top floor of apartment complex overlooking Manhattan. The room has a full bed and a private porch with grill and lawn chairs! You will be sharing the apartment with three working young adults who can give you great advice as to where to go! Full kitchen, two bathrooms, porch, balcony, large living room, high ceilings. Full access to building roof, gym and common room. Full access to the apartment, as well as kitchen. Whatever you need, I'll be there to help! Williamsburg is one of the coolest places in the entire country. Great bar scene and cool stores. Four separate subway lines are less than 5 minutes away. 10 minute commute to Manhattan."
